Cycle ID,Cycle time [mS],Origin Addr,Destiny Addr,Distance (m),RX Power (dBm),Active
168,718,B3,B4,13.47,-93.32,1
168,718,C1,B2,-999.00,-999.00,0
168,718,B4,B2,14.19,-98.73,1
169,625,C1,B3,8.56,-82.46,1
169,625,C1,B4,19.34,-97.32,1
169,625,B3,B2,26.93,-98.73,1
169,625,B3,B4,13.49,-90.60,1
169,625,C1,B2,-999.00,-999.00,0
169,625,B4,B2,-999.00,-999.00,0
170,717,C1,B3,9.67,-90.87,1
170,717,C1,B4,20.35,-98.74,1
170,717,B3,B2,26.97,-94.76,1
170,717,B3,B4,13.60,-90.31,1
170,717,C1,B2,-999.00,-999.00,0
170,717,B4,B2,14.19,-99.27,1
171,499,C1,B3,10.19,-75.67,1
171,499,C1,B4,20.93,-94.46,1
171,499,B3,B2,26.98,-96.22,1
171,499,B3,B4,13.58,-89.73,1
171,499,C1,B2,-999.00,-999.00,0
171,499,B4,B2,14.29,-98.68,1
172,1044,C1,B3,11.28,-96.55,1
172,1044,C1,B4,22.22,-90.36,1
172,1044,B3,B2,26.94,-94.46,1
172,1044,B3,B4,13.65,-91.27,1
